id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,masterCategoryEncoded,subCategoryEncoded,articleTypeEncoded,imagePath
13042,Women,Footwear,Shoes,Flats,Brown,Winter,2012.0,Casual,Inc 5 Women Brown Heels,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/13042.jpg
22537,Men,Footwear,Sandal,Sandals,Tan,Summer,2013.0,Casual,Gas Men Eldorado Tan Casual  Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/22537.jpg
28831,Women,Apparel,Innerwear,Briefs,Brown,Summer,2017.0,Casual,Enamor Women Pack of 3 Mid-Rise Bikini Brief,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/28831.jpg
2627,Women,Footwear,Shoes,Flats,Silver,Fall,2010.0,Casual,Carlton London Women Wedge Silver Sandal,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/2627.jpg
18698,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016.0,Casual,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/18698.jpg
22153,Men,Footwear,Sandal,Sandals,Brown,Summer,2011.0,Casual,Lee Cooper Men Brown Casual Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/22153.jpg
27421,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Winter,2015.0,Casual,Jockey Women Blue Lounge Pants,0,5,29,/content/drive/MyDrive/ML Project Team/dataset/images/27421.jpg
25376,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Levis Men Grey Innerwear T-Shirt,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/25376.jpg
14431,Women,Footwear,Shoes,Heels,Black,Summer,2012.0,Casual,Enroute Women Casual Black Flats,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/14431.jpg
16154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Enroute Men Leather Black Formal Shoes,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/16154.jpg
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/16508.jpg
18492,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011.0,Casual,Puma Men Danny Blue Slipper,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/18492.jpg
20856,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,United Colors of Benetton Men Casual Black Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/20856.jpg
28035,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016.0,Casual,Jockey ELANCE Men Grey Melange Y Front Briefs 1006,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/28035.jpg
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/26993.jpg
19772,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2011.0,Casual,ADIDAS Men Vigor Blue Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/19772.jpg
14409,Women,Footwear,Shoes,Heels,White,Summer,2012.0,Casual,Enroute Women Casual White Heels,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/14409.jpg
11947,Men,Footwear,Sandal,Sandals,Olive,Summer,2012.0,Casual,Ganuchi Men Casual Olive Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/11947.jpg
27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Black,Winter,2015.0,Casual,Jockey Women Black Lounge Pants,0,5,29,/content/drive/MyDrive/ML Project Team/dataset/images/27419.jpg
19124,Women,Footwear,Flip Flops,Flip Flops,Pink,Fall,2011.0,Casual,Lotto Women XL Kelly Pink Slippers,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/19124.jpg
17882,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men Comfort Style White Innerwear Vest,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/17882.jpg
11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Blue Chicago Fit Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/11349.jpg
17876,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/17876.jpg
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011.0,Sports,Puma Women Essential Skinny Black 3/4 Pant,0,1,9,/content/drive/MyDrive/ML Project Team/dataset/images/18002.jpg
15379,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Fila Men Lobato Black Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/15379.jpg
19927,Men,Footwear,Sandal,Sandals,Grey,Fall,2011.0,Casual,ADIDAS Men Receptor Grey Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/19927.jpg
16153,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Enroute Men Leather Black Formal Shoes,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/16153.jpg
22154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Lee Cooper Men Black Formal Shoes,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/22154.jpg
19329,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Puma Men Standpunkt Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/19329.jpg
13613,Men,Apparel,Innerwear,Innerwear Vests,Red,Summer,2016.0,Casual,Hanes Men Sleeveless V Neck Red Innerwear T-shirt,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/13613.jpg
27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Winter,2015.0,Casual,Jockey Women Grey Melange Shorts,0,1,46,/content/drive/MyDrive/ML Project Team/dataset/images/27426.jpg
25371,Men,Apparel,Innerwear,Innerwear Vests,Maroon,Summer,2016.0,Casual,Levis Men Maroon Innerwear Vest,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/25371.jpg
11978,Men,Footwear,Sandal,Sandals,Navy Blue,Summer,2012.0,Casual,FILA Men Aruba Navy Blue Sandal,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/11978.jpg
11520,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011.0,Casual,United Colors of Benetton Women Denim Black Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/11520.jpg
20267,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Casual Black Heels,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/20267.jpg
20869,Men,Footwear,Sandal,Sandals,Brown,Fall,2011.0,Casual,Fila Men Camper Brown Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/20869.jpg
21187,Men,Footwear,Flip Flops,Flip Flops,Yellow,Summer,2011.0,Casual,ADIDAS Men Plugged In Yellow Flip Flops,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/21187.jpg
22702,Women,Footwear,Shoes,Casual Shoes,Beige,Fall,2011.0,Casual,Nike Women Beige Dunk High Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22702.jpg
13045,Women,Footwear,Shoes,Flats,Maroon,Winter,2012.0,Casual,Inc 5 Women Casual Maroon Sandals,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/13045.jpg
24633,Women,Footwear,Flip Flops,Flip Flops,Pink,Fall,2011.0,Casual,ADIDAS Women Polka Pink Flip Flops,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/24633.jpg
10406,Women,Apparel,Dress,Dresses,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Solid Grey Dresses,0,2,13,/content/drive/MyDrive/ML Project Team/dataset/images/10406.jpg
10634,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2012.0,Formal,Carlton London Men Black Oxford Wingtip Brogues,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/10634.jpg
12163,Women,Apparel,Bottomwear,Leggings,Purple,Fall,2011.0,Ethnic,Aurelia Women Solid Purple Leggings,0,1,27,/content/drive/MyDrive/ML Project Team/dataset/images/12163.jpg
12507,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018.0,Casual,Red Tape Men Casual Black Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/12507.jpg
24257,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Numero Uno Men Navy Blue Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/24257.jpg
25385,Men,Apparel,Innerwear,Briefs,Navy Blue,Summer,2016.0,Casual,Levis Men Navy Blue Briefs,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/25385.jpg
15510,Men,Footwear,Shoes,Casual Shoes,Charcoal,Fall,2011.0,Casual,Rockport Men CV Toe HI Charcoal Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/15510.jpg
25378,Men,Apparel,Innerwear,Innerwear Vests,Beige,Summer,2016.0,Casual,Levis Men Beige Innerwear T-shirt,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/25378.jpg
24098,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Red Tape Men Black Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/24098.jpg
22539,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,Inc.5  Women Grey Flats,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/22539.jpg
28003,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Jockey ZONE Men Zone White Brief US18,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/28003.jpg
18696,Men,Apparel,Innerwear,Briefs,Black,Summer,2016.0,Casual,Hanes Men Black Ultimate Duo Dry Cotton Stretch Bikini Briefs,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/18696.jpg
2629,Women,Footwear,Shoes,Flats,Black,Fall,2010.0,Casual,Carlton London Women Four Strapped Black Sandal,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/2629.jpg
20894,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011.0,Casual,Basics Men Red Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/20894.jpg
15519,Men,Footwear,Flip Flops,Flip Flops,Brown,Fall,2011.0,Casual,Rockport Men Jelba Brown Flip Flops,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/15519.jpg
23249,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Arrow Men Formal Black Shoes,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/23249.jpg
11516,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Lifestyle Black Heels,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/11516.jpg
16733,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Lotto Men Earth Black Slipper,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/16733.jpg
27074,Women,Footwear,Shoes,Flats,Blue,Winter,2015.0,Casual,Catwalk Women Blue Casual Flats,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/27074.jpg
2616,Women,Footwear,Shoes,Flats,Gold,Fall,2010.0,Sports,Carlton London Women Gold Wedge Sandal,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/2616.jpg
13073,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Numero Uno Men White Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/13073.jpg
15384,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013.0,Casual,Filac Men Hawai Black Slippers,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/15384.jpg
16165,Men,Footwear,Shoes,Casual Shoes,Tan,Fall,2011.0,Casual,Enroute Men Leather Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/16165.jpg
11340,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Blue Chicago Fit Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/11340.jpg
10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015.0,Casual,Clarks Women Brown Leather Heels,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/10292.jpg
25347,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Levi's Men White Brief,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/25347.jpg
28458,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Capris,0,1,9,/content/drive/MyDrive/ML Project Team/dataset/images/28458.jpg
22162,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Timberland Men Black Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22162.jpg
27410,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Multi,Summer,2018.0,Casual,Jockey Women Assorted Lounge Pants,0,5,29,/content/drive/MyDrive/ML Project Team/dataset/images/27410.jpg
17043,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013.0,Casual,Gas Men Skate 003 Casual Shoe,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/17043.jpg
2888,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Wedding Heeled Bronze Heels,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/2888.jpg
10266,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Clarks Men Goto Hi Cola Suede Brown Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/10266.jpg
15526,Women,Footwear,Shoes,Heels,Brown,Fall,2011.0,Casual,Rockport Women Jeanie Oneband Brown Flats,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/15526.jpg
23044,Women,Apparel,Bottomwear,Leggings,Brown,Fall,2011.0,Casual,Arrow Woman Brown Jeggings,0,1,27,/content/drive/MyDrive/ML Project Team/dataset/images/23044.jpg
22196,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22196.jpg
23878,Women,Footwear,Shoes,Casual Shoes,Green,Summer,2012.0,Casual,Fila Women Sleeker Green Check Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/23878.jpg
26536,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,ID Men White Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/26536.jpg
24605,Women,Apparel,Apparel Set,Kurta Sets,Pink,Fall,2011.0,Ethnic,Vishudh Women Pink Churidar Kurta with Dupatta,0,0,24,/content/drive/MyDrive/ML Project Team/dataset/images/24605.jpg
27080,Women,Footwear,Shoes,Heels,Silver,Winter,2015.0,Casual,Catwalk Women Silver Flats,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/27080.jpg
12155,Women,Apparel,Bottomwear,Leggings,Beige,Fall,2011.0,Ethnic,Aurelia Women Solid Beige Leggings,0,1,27,/content/drive/MyDrive/ML Project Team/dataset/images/12155.jpg
13087,Unisex,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Timberland Unisex Casual Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/13087.jpg
12509,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men Casual Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/12509.jpg
23840,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,ADIDAS Men Brown Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/23840.jpg
24259,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Fall,2012.0,Casual,Numero Uno Men Navy Blue Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/24259.jpg
18665,Men,Footwear,Shoes,Casual Shoes,White,Summer,2013.0,Casual,Fila Men Syncro White Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/18665.jpg
20893,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Basics Men Black Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/20893.jpg
25971,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,Femella Women Black Dress,0,2,13,/content/drive/MyDrive/ML Project Team/dataset/images/25971.jpg
28460,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2012.0,Sports,Urban Yoga Women Pink Shorts,0,1,46,/content/drive/MyDrive/ML Project Team/dataset/images/28460.jpg
11976,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013.0,Casual,Fila Men Paramount Plus Black Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/11976.jpg
14438,Women,Footwear,Shoes,Heels,Yellow,Summer,2012.0,Casual,Enroute Women Casual Yellow Heels,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/14438.jpg
13080,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013.0,Casual,Numero Uno Men Black Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/13080.jpg
15377,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Fila Men Lobato Navy Blue Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/15377.jpg
15521,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Rockport Men Jelbalp Black Flip Flops,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/15521.jpg
23043,Women,Apparel,Bottomwear,Leggings,Blue,Fall,2011.0,Casual,Arrow Woman Blue Jeggings,0,1,27,/content/drive/MyDrive/ML Project Team/dataset/images/23043.jpg
22191,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Timberland Men Light Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22191.jpg
26531,Men,Footwear,Shoes,Casual Shoes,Olive,Summer,2013.0,Casual,Gas Men Arunta Olive Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/26531.jpg
17044,Men,Footwear,Sandal,Sandals,Brown,Summer,2013.0,Casual,Gas Men Aventura Sandal,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/17044.jpg
17878,Men,Apparel,Innerwear,Innerwear Vests,Maroon,Summer,2016.0,Casual,Levis Men Comfort Style Maroon Innerwear Vest,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/17878.jpg
11949,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Ganuchi Men Casual Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/11949.jpg
22165,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012.0,Casual,Timberland Men Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22165.jpg
27417,Women,Apparel,Bottomwear,Capris,Blue,Winter,2015.0,Casual,Jockey Women Blue Relaxed Capris,0,1,9,/content/drive/MyDrive/ML Project Team/dataset/images/27417.jpg
16162,Men,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,Enroute Men Leather Black Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/16162.jpg
27625,Men,Apparel,Bottomwear,Shorts,Grey,Summer,2012.0,Casual,Scullers Men Grey Shorts,0,1,46,/content/drive/MyDrive/ML Project Team/dataset/images/27625.jpg
11347,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017.0,Casual,Lee Men Elvira Rinse Blue Chicago Fit Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/11347.jpg
10295,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016.0,Casual,Clarks Men Brown Leather Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/10295.jpg
16506,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/16506.jpg
22733,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Nike Men Dunk High Grey Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22733.jpg
13074,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011.0,Casual,Numero Uno Men Brown Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/13074.jpg
11511,Women,Footwear,Shoes,Flats,Gold,Winter,2015.0,Casual,Catwalk Women Lifestyle Gold Toned Ballerinas,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/11511.jpg
16734,Men,Footwear,Flip Flops,Flip Flops,Maroon,Fall,2011.0,Casual,Lotto Men Emeriti Maroon Slipper,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/16734.jpg
22501,Women,Footwear,Shoes,Casual Shoes,Beige,Winter,2015.0,Casual,Catwalk Women Beige Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22501.jpg
2611,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Carlton London Women Stylish Gold Flats,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/2611.jpg
13246,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Palm Tree Kids Boy Washed Blue Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/13246.jpg
